monster1,monster2,monster1_win_pct,monster2_win_pct
Ice Mephit,Zombie,49.7%,50.3%
Owlbear,Spirit Naga,50.3%,49.7%
Swarm of Ravens,"Wererat, Human Form",49.7%,50.3%
Black Pudding,Green Dragon Wyrmling,50.4%,49.6%
Bulette,Ice Devil,49.6%,50.4%
Gibbering Mouther,Unicorn,49.6%,50.4%
Grimlock,Panther,49.6%,50.4%
Hunter Shark,Veteran,50.4%,49.6%
Troll,Winter Wolf,49.6%,50.4%
Brown Bear,Ochre Jelly,50.5%,49.5%
Camel,Cultist,50.5%,49.5%
Copper Dragon Wyrmling,Giant Toad,49.5%,50.5%
Darkmantle,Orc,50.5%,49.5%
Elk,Priest,49.5%,50.5%
Ettin,Lamia,49.5%,50.5%
Ettin,Oni,50.5%,49.5%
Flying Sword,Spy,49.5%,50.5%
Flying Sword,"Wererat, Hybrid Form",50.5%,49.5%
Flying Sword,"Wererat, Rat Form",50.5%,49.5%
Giant Bat,Reef Shark,49.5%,50.5%
Giant Toad,Warhorse Skeleton,49.5%,50.5%
Imp,Zombie,50.5%,49.5%
Lizardfolk,Reef Shark,49.5%,50.5%
Minotaur,Otyugh,49.5%,50.5%
Mummy,Saber-Toothed Tiger,50.5%,49.5%
Axe Beak,Giant Vulture,49.4%,50.6%
Bandit,Giant Wolf Spider,50.6%,49.4%
Blink Dog,Cult Fanatic,49.4%,50.6%
Cult Fanatic,Swarm of Rats,49.4%,50.6%
Drow,Hobgoblin,50.6%,49.4%
Gelatinous Cube,Sea Hag,50.6%,49.4%
Giant Ape,Marilith,49.4%,50.6%
Giant Owl,Orc,49.4%,50.6%
Goblin,Grimlock,50.6%,49.4%
Grick,"Werewolf, Human Form",49.4%,50.6%
Mule,Steam Mephit,49.4%,50.6%
Noble,Panther,50.6%,49.4%
Rakshasa,Wraith,50.6%,49.4%
Shadow,Swarm of Ravens,49.4%,50.6%
Animated Armor,Tiger,49.3%,50.7%
Chuul,Minotaur,50.7%,49.3%
Duergar,Phase Spider,50.7%,49.3%
Giant Owl,"Wererat, Hybrid Form",49.3%,50.7%
Giant Owl,"Wererat, Rat Form",49.3%,50.7%
Gynosphinx,Young Green Dragon,49.3%,50.7%
Hippogriff,"Wererat, Human Form",49.3%,50.7%
Magma Mephit,Magmin,50.7%,49.3%
Ochre Jelly,Swarm of Poisonous Snakes,49.3%,50.7%
Bandit,Goblin,50.8%,49.2%
Bone Devil,Young Brass Dragon,49.2%,50.8%
Ghoul,"Wererat, Human Form",49.2%,50.8%
Giant Elk,Hunter Shark,49.2%,50.8%
Green Dragon Wyrmling,Mimic,50.8%,49.2%
Knight,Ogre Zombie,50.8%,49.2%
Magmin,Riding Horse,49.2%,50.8%
Ogre,"Weretiger, Human Form",50.8%,49.2%
Spirit Naga,Unicorn,49.2%,50.8%
Adult Copper Dragon,Behir,49.1%,50.9%
Adult Gold Dragon,Roc,49.1%,50.9%
Adult Red Dragon,Roc,49.1%,50.9%
Assassin,"Wereboar, Boar Form",50.9%,49.1%
Assassin,"Wereboar, Hybrid Form",50.9%,49.1%
Black Pudding,Dire Wolf,50.9%,49.1%
Bulette,Glabrezu,50.9%,49.1%
Clay Golem,Triceratops,49.1%,50.9%
Darkmantle,Rust Monster,49.1%,50.9%
Giant Constrictor Snake,Owlbear,50.9%,49.1%
Giant Shark,Young Bronze Dragon,49.1%,50.9%
Harpy,Lion,50.9%,49.1%
Harpy,Satyr,50.9%,49.1%
Hezrou,Triceratops,49.1%,50.9%
Ice Devil,Young Blue Dragon,49.1%,50.9%
Oni,Wyvern,50.9%,49.1%
Satyr,Specter,49.1%,50.9%
Chuul,Wraith,49.0%,51.0%
Clay Golem,Earth Elemental,51.0%,49.0%
Cockatrice,Riding Horse,49.0%,51.0%
Copper Dragon Wyrmling,Giant Spider,51.0%,49.0%
Erinyes,Hill Giant,51.0%,49.0%
Giant Owl,Hippogriff,51.0%,49.0%
Giant Weasel,Magmin,49.0%,51.0%
Gladiator,"Vampire, Bat Form",49.0%,51.0%
Ice Mephit,Magma Mephit,51.0%,49.0%
Ogre,Spirit Naga,51.0%,49.0%
Orc,"Wererat, Human Form",51.0%,49.0%
Sahuagin,Skeleton,51.0%,49.0%
Assassin,Giant Constrictor Snake,51.1%,48.9%
Bandit Captain,Succubus/Incubus,51.1%,48.9%
Berserker,Silver Dragon Wyrmling,51.1%,48.9%
Black Dragon Wyrmling,Will-o'-Wisp,48.9%,51.1%
Blue Dragon Wyrmling,Silver Dragon Wyrmling,48.9%,51.1%
Commoner,Giant Fire Beetle,48.9%,51.1%
Deep Gnome (Svirfneblin),Ghoul,48.9%,51.1%
Deva,Gladiator,51.1%,48.9%
Ghast,Giant Scorpion,48.9%,51.1%
Giant Weasel,Ice Mephit,48.9%,51.1%
Glabrezu,Young Blue Dragon,48.9%,51.1%
Reef Shark,"Wererat, Hybrid Form",51.1%,48.9%
Reef Shark,"Wererat, Rat Form",51.1%,48.9%
Warhorse Skeleton,White Dragon Wyrmling,51.1%,48.9%
Ape,"Wererat, Hybrid Form",48.8%,51.2%
Ape,"Wererat, Rat Form",48.8%,51.2%
Blue Dragon Wyrmling,"Wereboar, Boar Form",51.2%,48.8%
Blue Dragon Wyrmling,"Wereboar, Hybrid Form",51.2%,48.8%
Bone Devil,Giant Crocodile,51.2%,48.8%
Brass Dragon Wyrmling,Satyr,48.8%,51.2%
Bronze Dragon Wyrmling,Merrow,48.8%,51.2%
Deep Gnome (Svirfneblin),Giant Goat,51.2%,48.8%
Erinyes,Giant Crocodile,51.2%,48.8%
Ghast,Giant Hyena,48.8%,51.2%
Giant Boar,Polar Bear,51.2%,48.8%
Giant Lizard,Reef Shark,48.8%,51.2%
Gibbering Mouther,Medusa,48.8%,51.2%
Half-Red Dragon Veteran,Knight,48.8%,51.2%
Silver Dragon Wyrmling,Vampire Spawn,48.8%,51.2%
Air Elemental,Killer Whale,51.3%,48.7%
Balor,Kraken,48.7%,51.3%
Berserker,"Wereboar, Boar Form",48.7%,51.3%
Berserker,"Wereboar, Hybrid Form",48.7%,51.3%
Couatl,Gladiator,51.3%,48.7%
Crocodile,Thug,48.7%,51.3%
Deep Gnome (Svirfneblin),Spy,48.7%,51.3%
Giant Centipede,Lemure,48.7%,51.3%
Giant Poisonous Snake,Swarm of Bats,51.3%,48.7%
Giant Sea Horse,Skeleton,51.3%,48.7%
Giant Vulture,Reef Shark,51.3%,48.7%
Harpy,Warhorse,51.3%,48.7%
Hawk,Lizard,48.7%,51.3%
Mimic,Polar Bear,51.3%,48.7%
Assassin,Medusa,48.6%,51.4%
Bugbear,Giant Hyena,48.6%,51.4%
Constrictor Snake,Druid,51.4%,48.6%
Elephant,Water Elemental,51.4%,48.6%
Fire Giant,Purple Worm,48.6%,51.4%
Gelatinous Cube,Manticore,51.4%,48.6%
Giant Boar,Merrow,51.4%,48.6%
Giant Fire Beetle,Goat,51.4%,48.6%
Giant Lizard,Giant Owl,51.4%,48.6%
Giant Shark,Treant,51.4%,48.6%
Guardian Naga,"Werebear, Bear Form",48.6%,51.4%
Guardian Naga,"Werebear, Hybrid Form",48.6%,51.4%
Hunter Shark,Pegasus,48.6%,51.4%
Hyena,Stirge,51.4%,48.6%
Mummy Lord,Young Copper Dragon,48.6%,51.4%
Orc,Warhorse,48.6%,51.4%
Priest,Scout,48.6%,51.4%
Bugbear,Mimic,48.5%,51.5%
Eagle,Kobold,48.5%,51.5%
Giant Ape,Young Blue Dragon,51.5%,48.5%
Giant Eagle,Specter,51.5%,48.5%
Gold Dragon Wyrmling,Nightmare,51.5%,48.5%
Grick,Wight,51.5%,48.5%
Lich,Triceratops,51.5%,48.5%
Pegasus,"Wereboar, Boar Form",51.5%,48.5%
Pegasus,"Wereboar, Hybrid Form",51.5%,48.5%
Awakened Shrub,Eagle,51.6%,48.4%
Awakened Tree,"Weretiger, Hybrid Form",51.6%,48.4%
Awakened Tree,"Weretiger, Tiger Form",51.6%,48.4%
Bandit,Dretch,51.6%,48.4%
Basilisk,Succubus/Incubus,48.4%,51.6%
Black Bear,Scout,51.6%,48.4%
Black Dragon Wyrmling,Bugbear,51.6%,48.4%
Blue Dragon Wyrmling,Pegasus,51.6%,48.4%
Chimera,Otyugh,51.6%,48.4%
Clay Golem,Hezrou,51.6%,48.4%
Clay Golem,Lich,48.4%,51.6%
Crocodile,Draft Horse,51.6%,48.4%
Elk,Giant Poisonous Snake,48.4%,51.6%
Giant Badger,Giant Wolf Spider,51.6%,48.4%
Giant Goat,Thug,51.6%,48.4%
Gray Ooze,Magmin,51.6%,48.4%
Hell Hound,Mimic,51.6%,48.4%
Ice Mephit,Panther,48.4%,51.6%
Shadow,Thug,48.4%,51.6%
Acolyte,Giant Centipede,51.7%,48.3%
Azer,Giant Boar,48.3%,51.7%
Blink Dog,Hobgoblin,48.3%,51.7%
Centaur,Giant Octopus,51.7%,48.3%
Deep Gnome (Svirfneblin),Orc,48.3%,51.7%
Dretch,Goblin,51.7%,48.3%
Elephant,Gladiator,51.7%,48.3%
Ettercap,Tiger,48.3%,51.7%
Flying Snake,Giant Fire Beetle,51.7%,48.3%
Glabrezu,Mammoth,51.7%,48.3%
Magmin,Priest,48.3%,51.7%
Merfolk,Pseudodragon,48.3%,51.7%
Axe Beak,Shadow,48.2%,51.8%
Azer,Giant Scorpion,48.2%,51.8%
Bronze Dragon Wyrmling,Giant Hyena,51.8%,48.2%
Chuul,Oni,51.8%,48.2%
Cultist,Violet Fungus,48.2%,51.8%
Flying Sword,Hippogriff,48.2%,51.8%
Giant Boar,Mimic,51.8%,48.2%
Gibbering Mouther,Vampire Spawn,51.8%,48.2%
Ice Devil,Mammoth,48.2%,51.8%
Oni,Rakshasa,48.2%,51.8%
Orc,Specter,48.2%,51.8%
"Werebear, Human Form",Wyvern,51.8%,48.2%
"Wereboar, Human Form","Wereboar, Hybrid Form",48.2%,51.8%
Bandit Captain,Gelatinous Cube,51.9%,48.1%
Drider,"Wereboar, Human Form",48.1%,51.9%
Elephant,Xorn,51.9%,48.1%
Giant Crocodile,Hydra,48.1%,51.9%
Giant Frog,Giant Sea Horse,51.9%,48.1%
Giant Octopus,Mummy,48.1%,51.9%
Giant Poisonous Snake,Swarm of Rats,48.1%,51.9%
Guard,Magmin,51.9%,48.1%
Ice Mephit,Magmin,48.1%,51.9%
Magma Mephit,Sahuagin,48.1%,51.9%
Magmin,Scout,48.1%,51.9%
Oni,Wraith,48.1%,51.9%
Salamander,"Werebear, Human Form",48.1%,51.9%
Swarm of Bats,Swarm of Rats,51.9%,48.1%
Swarm of Poisonous Snakes,Will-o'-Wisp,51.9%,48.1%
"Vampire, Bat Form",Water Elemental,51.9%,48.1%
"Vampire, Vampire Form","Werebear, Bear Form",48.1%,51.9%
"Vampire, Vampire Form","Werebear, Hybrid Form",48.1%,51.9%
Warhorse Skeleton,Will-o'-Wisp,48.1%,51.9%
Basilisk,Griffon,52.0%,48.0%
Bone Devil,Hill Giant,52.0%,48.0%
Commoner,Deer,48.0%,52.0%
Flying Sword,Ghoul,52.0%,48.0%
Flying Sword,Giant Goat,52.0%,48.0%
Giant Frog,Skeleton,48.0%,52.0%
Giant Owl,Thug,48.0%,52.0%
Giant Spider,Grick,48.0%,52.0%
Giant Toad,Worg,48.0%,52.0%
Killer Whale,"Vampire, Vampire Form",48.0%,52.0%
Night Hag,Shambling Mound,52.0%,48.0%
Nightmare,"Weretiger, Hybrid Form",52.0%,48.0%
Nightmare,"Weretiger, Tiger Form",52.0%,48.0%
Satyr,Warhorse,52.0%,48.0%
Wight,Worg,52.0%,48.0%
Barbed Devil,Nightmare,47.9%,52.1%
Black Pudding,Giant Scorpion,52.1%,47.9%
Boar,Goblin,47.9%,52.1%
Camel,Mule,47.9%,52.1%
Deep Gnome (Svirfneblin),Reef Shark,52.1%,47.9%
Drow,Giant Poisonous Snake,52.1%,47.9%
Druid,Wolf,47.9%,52.1%
Giant Crab,Skeleton,47.9%,52.1%
Giant Crocodile,Young Brass Dragon,52.1%,47.9%
Giant Lizard,Lizardfolk,52.1%,47.9%
Giant Shark,Roper,47.9%,52.1%
Giant Vulture,Spy,47.9%,52.1%
Gibbering Mouther,Veteran,47.9%,52.1%
Gorgon,Treant,52.1%,47.9%
Noble,Zombie,47.9%,52.1%
Riding Horse,Shadow,47.9%,52.1%
Triceratops,Young Black Dragon,52.1%,47.9%
Ancient Green Dragon,Dragon Turtle,52.2%,47.8%
Crocodile,Ghoul,47.8%,52.2%
Crocodile,Hippogriff,52.2%,47.8%
Deer,Eagle,52.2%,47.8%
Earth Elemental,Triceratops,52.2%,47.8%
Earth Elemental,Young White Dragon,52.2%,47.8%
Flying Sword,Orc,47.8%,52.2%
Giant Eagle,Lion,52.2%,47.8%
Giant Hyena,Giant Octopus,52.2%,47.8%
Guard,Sahuagin,52.2%,47.8%
Imp,Sahuagin,47.8%,52.2%
Oni,"Werebear, Human Form",52.2%,47.8%
Bearded Devil,Ghast,52.3%,47.7%
Blue Dragon Wyrmling,Drider,52.3%,47.7%
Dire Wolf,Giant Octopus,47.7%,52.3%
Dire Wolf,Polar Bear,52.3%,47.7%
Giant Boar,Hell Hound,52.3%,47.7%
Giant Owl,Spy,52.3%,47.7%
Giant Toad,"Werewolf, Human Form",47.7%,52.3%
Griffon,Saber-Toothed Tiger,47.7%,52.3%
Hell Hound,Merrow,52.3%,47.7%
Plesiosaurus,Red Dragon Wyrmling,52.3%,47.7%
Pony,Riding Horse,52.3%,47.7%
Bearded Devil,Giant Scorpion,47.6%,52.4%
Bugbear,Hell Hound,47.6%,52.4%
Draft Horse,"Wererat, Human Form",52.4%,47.6%
Ghast,Mimic,47.6%,52.4%
Giant Constrictor Snake,Ogre,47.6%,52.4%
Giant Toad,Grick,52.4%,47.6%
Grick,Ochre Jelly,52.4%,47.6%
Grimlock,Wolf,47.6%,52.4%
Lamia,Oni,47.6%,52.4%
Rhinoceros,Vampire Spawn,47.6%,52.4%
Shambling Mound,Shield Guardian,47.6%,52.4%
Adult Black Dragon,Cloud Giant,52.5%,47.5%
Ancient Gold Dragon,Ancient Red Dragon,52.5%,47.5%
Ape,Giant Goat,52.5%,47.5%
Couatl,Deva,47.5%,52.5%
Crocodile,Swarm of Ravens,47.5%,52.5%
Dryad,Tribal Warrior,52.5%,47.5%
Duergar,Giant Toad,47.5%,52.5%
Fire Giant,Planetar,47.5%,52.5%
Giant Bat,Shadow,52.5%,47.5%
Giant Crocodile,Mummy Lord,52.5%,47.5%
Giant Frog,Magmin,52.5%,47.5%
Giant Lizard,Shadow,52.5%,47.5%
Imp,Skeleton,47.5%,52.5%
Lizardfolk,Shadow,52.5%,47.5%
Pony,Wolf,52.5%,47.5%
Reef Shark,Swarm of Ravens,47.5%,52.5%
Rhinoceros,"Wereboar, Boar Form",47.5%,52.5%
Rhinoceros,"Wereboar, Hybrid Form",47.5%,52.5%
Spy,Swarm of Ravens,47.5%,52.5%
Blood Hawk,Quasit,47.4%,52.6%
Blue Dragon Wyrmling,Ghost,52.6%,47.4%
Brass Dragon Wyrmling,Harpy,52.6%,47.4%
Constrictor Snake,Skeleton,52.6%,47.4%
Couatl,Elephant,52.6%,47.4%
Crocodile,Rust Monster,47.4%,52.6%
Giant Rat,Quasit,47.4%,52.6%
Giant Rat (Diseased),Quasit,47.4%,52.6%
Giant Spider,Giant Toad,47.4%,52.6%
Giant Toad,Wight,47.4%,52.6%
Giant Wasp,Skeleton,52.6%,47.4%
Gnoll,Lizardfolk,52.6%,47.4%
Mule,Violet Fungus,47.4%,52.6%
Panther,Skeleton,52.6%,47.4%
Aboleth,Triceratops,47.3%,52.7%
Aboleth,Young White Dragon,47.3%,52.7%
Bugbear,Giant Boar,52.7%,47.3%
Cloaker,"Weretiger, Hybrid Form",47.3%,52.7%
Cloaker,"Weretiger, Tiger Form",47.3%,52.7%
Dire Wolf,Hell Hound,52.7%,47.3%
Drider,Hunter Shark,52.7%,47.3%
Druid,Dust Mephit,52.7%,47.3%
Frost Giant,Horned Devil,52.7%,47.3%
Ghast,Merrow,47.3%,52.7%
Giant Lizard,Gnoll,52.7%,47.3%
Giant Sea Horse,Magmin,52.7%,47.3%
Giant Weasel,Guard,52.7%,47.3%
Goat,Hyena,52.7%,47.3%
Nightmare,Plesiosaurus,47.3%,52.7%
Rat,Raven,52.7%,47.3%
Rat,Spider,52.7%,47.3%
Reef Shark,Rust Monster,47.3%,52.7%
Ankheg,Giant Octopus,52.8%,47.2%
Awakened Tree,Nightmare,52.8%,47.2%
Bandit Captain,Giant Elk,47.2%,52.8%
Darkmantle,Hippogriff,52.8%,47.2%
Duergar,Giant Spider,52.8%,47.2%
Giant Eagle,Warhorse,52.8%,47.2%
Giant Elk,Manticore,52.8%,47.2%
Giant Goat,Hippogriff,52.8%,47.2%
Giant Wolf Spider,Noble,47.2%,52.8%
Guard,Panther,52.8%,47.2%
Hobgoblin,Swarm of Bats,52.8%,47.2%
Magma Mephit,Panther,52.8%,47.2%
Noble,Sahuagin,47.2%,52.8%
Riding Horse,Swarm of Bats,52.8%,47.2%
Roper,Treant,52.8%,47.2%
Ankheg,Doppelganger,47.1%,52.9%
Balor,Storm Giant,52.9%,47.1%
Black Bear,Drow,52.9%,47.1%
Draft Horse,Giant Eagle,52.9%,47.1%
Earth Elemental,Young Black Dragon,47.1%,52.9%
Giant Spider,Warhorse Skeleton,47.1%,52.9%
Gray Ooze,Wolf,47.1%,52.9%
Guard,Wolf,47.1%,52.9%
Gynosphinx,Lich,52.9%,47.1%
Veteran,"Wereboar, Boar Form",47.1%,52.9%
Veteran,"Wereboar, Hybrid Form",47.1%,52.9%
Air Elemental,"Vampire, Bat Form",53.0%,47.0%
Awakened Shrub,Hyena,47.0%,53.0%
Azer,Green Dragon Wyrmling,47.0%,53.0%
Bearded Devil,Swarm of Quippers,47.0%,53.0%
Blood Hawk,Cultist,53.0%,47.0%
Chuul,Rakshasa,47.0%,53.0%
Copper Dragon Wyrmling,Duergar,53.0%,47.0%
Erinyes,Young Brass Dragon,47.0%,53.0%
Gibbering Mouther,Owlbear,53.0%,47.0%
Goblin,Imp,47.0%,53.0%
Hill Giant,Mummy Lord,53.0%,47.0%
Lich,Young Green Dragon,47.0%,53.0%
Mummy,Succubus/Incubus,53.0%,47.0%
Owlbear,"Weretiger, Human Form",53.0%,47.0%
Spy,Thug,47.0%,53.0%
Adult Blue Dragon,Planetar,46.9%,53.1%
Axe Beak,Giant Owl,46.9%,53.1%
Azer,Bronze Dragon Wyrmling,46.9%,53.1%
Bearded Devil,Will-o'-Wisp,53.1%,46.9%
Centaur,Doppelganger,53.1%,46.9%
Chuul,Wyvern,53.1%,46.9%
Copper Dragon Wyrmling,Grick,46.9%,53.1%
Death Dog,Specter,53.1%,46.9%
Ettin,Salamander,53.1%,46.9%
Giant Badger,Giant Weasel,46.9%,53.1%
Giant Wolf Spider,Pony,46.9%,53.1%
Gnoll,Reef Shark,46.9%,53.1%
Gnoll,Shadow,53.1%,46.9%
Gorgon,Stone Giant,46.9%,53.1%
Gorgon,Young Bronze Dragon,53.1%,46.9%
Knight,Winter Wolf,46.9%,53.1%
Lamia,Minotaur,46.9%,53.1%
Adult White Dragon,Cloud Giant,46.8%,53.2%
Commoner,Vulture,46.8%,53.2%
Cult Fanatic,Giant Lizard,46.8%,53.2%
Deep Gnome (Svirfneblin),Rust Monster,46.8%,53.2%
Half-Red Dragon Veteran,Spirit Naga,46.8%,53.2%
Merfolk,Mule,46.8%,53.2%
Salamander,Wyvern,46.8%,53.2%
Ape,Darkmantle,53.2%,46.8%
Bugbear,Will-o'-Wisp,53.2%,46.8%
Constrictor Snake,Elk,53.2%,46.8%
Giant Frog,Sahuagin,53.2%,46.8%
Orc,Swarm of Beetles,53.2%,46.8%
Orc,Swarm of Centipedes,53.2%,46.8%
Orc,Swarm of Insects,53.2%,46.8%
Orc,Swarm of Spiders,53.2%,46.8%
Orc,Swarm of Wasps,53.2%,46.8%
Barbed Devil,"Weretiger, Hybrid Form",46.7%,53.3%
Barbed Devil,"Weretiger, Tiger Form",46.7%,53.3%
Blink Dog,Swarm of Bats,46.7%,53.3%
Ghast,Will-o'-Wisp,46.7%,53.3%
Hunter Shark,"Wereboar, Human Form",46.7%,53.3%
Adult Blue Dragon,Purple Worm,53.3%,46.7%
Black Pudding,Polar Bear,53.3%,46.7%
Bugbear,Giant Scorpion,53.3%,46.7%
Bugbear,Swarm of Quippers,53.3%,46.7%
Dryad,Giant Badger,53.3%,46.7%
Giant Goat,Swarm of Ravens,53.3%,46.7%
Giant Spider,Phase Spider,53.3%,46.7%
Imp,Panther,53.3%,46.7%
Awakened Shrub,Stirge,46.6%,53.4%
Giant Bat,Spy,46.6%,53.4%
Giant Vulture,Orc,46.6%,53.4%
Lizardfolk,Spy,46.6%,53.4%
Sahuagin,Wolf,46.6%,53.4%
Shield Guardian,Young Brass Dragon,46.6%,53.4%
Boar,Giant Badger,53.4%,46.6%
Cultist,Steam Mephit,53.4%,46.6%
Druid,Skeleton,53.4%,46.6%
Ghost,Medusa,53.4%,46.6%
Giant Bat,Giant Owl,53.4%,46.6%
Giant Boar,Giant Hyena,53.4%,46.6%
Giant Scorpion,Swarm of Quippers,53.4%,46.6%
Mage,Satyr,53.4%,46.6%
Ape,Hippogriff,46.5%,53.5%
Assassin,Pegasus,53.5%,46.5%
Berserker,Vampire Spawn,46.5%,53.5%
Boar,Dretch,46.5%,53.5%
Boar,Dryad,53.5%,46.5%
Boar,Tribal Warrior,53.5%,46.5%
Crocodile,"Wererat, Hybrid Form",53.5%,46.5%
Crocodile,"Wererat, Rat Form",53.5%,46.5%
Dire Wolf,Mimic,53.5%,46.5%
Flying Sword,Rust Monster,46.5%,53.5%
Gargoyle,"Werewolf, Hybrid Form",53.5%,46.5%
Gargoyle,"Werewolf, Wolf Form",53.5%,46.5%
Ghost,Owlbear,53.5%,46.5%
Gibbering Mouther,Ogre Zombie,46.5%,53.5%
Hell Hound,Polar Bear,46.5%,53.5%
Knight,Spirit Naga,53.5%,46.5%
Rat,Weasel,46.5%,53.5%
Scout,Swarm of Bats,46.5%,53.5%
Vrock,"Werebear, Human Form",46.5%,53.5%
Young Black Dragon,Young Green Dragon,46.5%,53.5%
Azer,Black Pudding,46.4%,53.6%
Black Bear,Blink Dog,46.4%,53.6%
Gold Dragon Wyrmling,"Weretiger, Hybrid Form",46.4%,53.6%
Gold Dragon Wyrmling,"Weretiger, Tiger Form",46.4%,53.6%
Phase Spider,Warhorse Skeleton,46.4%,53.6%
Steam Mephit,Violet Fungus,46.4%,53.6%
Aboleth,Earth Elemental,53.6%,46.4%
Blood Hawk,Mule,53.6%,46.4%
Deep Gnome (Svirfneblin),Flying Sword,53.6%,46.4%
Ghost,Vampire Spawn,53.6%,46.4%
Giant Rat,Mule,53.6%,46.4%
Giant Rat (Diseased),Mule,53.6%,46.4%
Imp,Magma Mephit,53.6%,46.4%
Pegasus,Vampire Spawn,53.6%,46.4%
Skeleton,Wolf,53.6%,46.4%
Axe Beak,Deep Gnome (Svirfneblin),46.3%,53.7%
Chimera,Elephant,46.3%,53.7%
Cockatrice,Priest,46.3%,53.7%
Darkmantle,Ghoul,46.3%,53.7%
Giant Frog,Wolf,46.3%,53.7%
Giant Wolf Spider,Grimlock,46.3%,53.7%
Gladiator,Killer Whale,46.3%,53.7%
Thug,"Wererat, Human Form",46.3%,53.7%
Axe Beak,Giant Lizard,53.7%,46.3%
Black Pudding,Giant Boar,53.7%,46.3%
Ghoul,Rust Monster,53.7%,46.3%
Giant Badger,Goblin,53.7%,46.3%
Grimlock,Magmin,53.7%,46.3%
Merrow,Polar Bear,53.7%,46.3%
Axe Beak,Giant Bat,46.2%,53.8%
Axe Beak,Gnoll,46.2%,53.8%
Axe Beak,Lizardfolk,46.2%,53.8%
Berserker,Ogre,46.2%,53.8%
Black Dragon Wyrmling,Giant Scorpion,46.2%,53.8%
Brass Dragon Wyrmling,Giant Eagle,46.2%,53.8%
Bronze Dragon Wyrmling,Centaur,46.2%,53.8%
Bronze Dragon Wyrmling,Giant Octopus,46.2%,53.8%
Commoner,Goat,46.2%,53.8%
Dryad,Goblin,46.2%,53.8%
Elephant,Killer Whale,46.2%,53.8%
Hunter Shark,Silver Dragon Wyrmling,46.2%,53.8%
Swarm of Poisonous Snakes,"Werewolf, Hybrid Form",46.2%,53.8%
Swarm of Poisonous Snakes,"Werewolf, Wolf Form",46.2%,53.8%
Assassin,Ghost,53.8%,46.2%
Bandit Captain,Griffon,53.8%,46.2%
Berserker,Blue Dragon Wyrmling,53.8%,46.2%
Boar,Violet Fungus,53.8%,46.2%
Bronze Dragon Wyrmling,Mimic,53.8%,46.2%
Fire Elemental,Minotaur Skeleton,53.8%,46.2%
Giant Wolf Spider,Goblin,53.8%,46.2%
Gold Dragon Wyrmling,Troll,53.8%,46.2%
Green Dragon Wyrmling,Swarm of Quippers,53.8%,46.2%
Grimlock,Ice Mephit,53.8%,46.2%
Acolyte,Mastiff,46.1%,53.9%
Brass Dragon Wyrmling,Specter,46.1%,53.9%
Elk,Scout,46.1%,53.9%
Magma Mephit,Skeleton,46.1%,53.9%
Mummy,Sea Hag,46.1%,53.9%
Phase Spider,Worg,46.1%,53.9%
Animated Armor,White Dragon Wyrmling,53.9%,46.1%
Chain Devil,Wraith,53.9%,46.1%
Drider,Veteran,53.9%,46.1%
Pony,Skeleton,53.9%,46.1%
Priest,Riding Horse,53.9%,46.1%
Behir,Cloud Giant,46.0%,54.0%
